item_id,pilar,tipo,texto,empresa_id,empresa_nome,setor,porte,regiao,maturidade_ia,cobertura,cobertura_score,roadmap,decisao,resposta,comentario
1.1,1,Expectativa,Conectores pré-construídos para aplicações e sistemas corporativos,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Conectores pré-construídos para aplicações e sistemas corporativos». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.2,1,Expectativa,"Integração com sistemas de registro (ERP, CRM, MES, CMMS, data platforms)",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Integração com sistemas de registro (ERP, CRM, MES, CMMS, data platforms)». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Feito» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.3,1,Expectativa,"Pipelines robustos de ingestão, tratamento e normalização",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Pipelines robustos de ingestão, tratamento e normalização». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.4,1,Expectativa,Controle de acesso baseado em funções para pessoas e agentes,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Controle de acesso baseado em funções para pessoas e agentes». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Feito» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.5,1,Expectativa,Cache de memória e reutilização de contexto entre interações,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Comprar,,"Cobertura Parcial: há peças úteis para «Cache de memória e reutilização de contexto entre interações», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.A1,1,Avançado,Knowledge graph e mecanismo de contexto corporativo,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Híbrido,,"Cobertura Parcial: há peças úteis para «Knowledge graph e mecanismo de contexto corporativo», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.A2,1,Avançado,Taxonomias e ontologias por indústria/domínio,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,—,Híbrido,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Taxonomias e ontologias por indústria/domínio» (gap típico do posicionamento atual). No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «—» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.A3,1,Avançado,"Melhoria automática de qualidade, consistência e enriquecimento",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Melhoria automática de qualidade, consistência e enriquecimento». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.A4,1,Avançado,Memória persistente e compartilhamento de contexto entre agentes,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Backlog,—,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Memória persistente e compartilhamento de contexto entre agentes». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Backlog» e decisão «—» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
1.A5,1,Avançado,Enriquecimento dos agentes com conhecimento corporativo e domínio,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Backlog,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Enriquecimento dos agentes com conhecimento corporativo e domínio». No pilar, forte em conectores Anypoint e control plane multi-agente (MCP/A2A). Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
