item_id,pilar,tipo,texto
1.1,1,Expectativa,Conectores pré-construídos para aplicações e sistemas corporativos
1.2,1,Expectativa,"Integração com sistemas de registro (ERP, CRM, MES, CMMS, data platforms)"
1.3,1,Expectativa,"Pipelines robustos de ingestão, tratamento e normalização"
1.4,1,Expectativa,Controle de acesso baseado em funções para pessoas e agentes
1.5,1,Expectativa,Cache de memória e reutilização de contexto entre interações
1.A1,1,Avançado,Knowledge graph e mecanismo de contexto corporativo
1.A2,1,Avançado,Taxonomias e ontologias por indústria/domínio
1.A3,1,Avançado,"Melhoria automática de qualidade, consistência e enriquecimento"
1.A4,1,Avançado,Memória persistente e compartilhamento de contexto entre agentes
1.A5,1,Avançado,Enriquecimento dos agentes com conhecimento corporativo e domínio
2.1,2,Expectativa,Agent Studio com interface em linguagem natural
2.2,2,Expectativa,Suporte low-code e code-first
2.3,2,Expectativa,Modelos reutilizáveis de agentes e fluxos de trabalho
2.4,2,Expectativa,Engenharia de prompts e configuração de instruções de sistema
2.5,2,Expectativa,Raciocínio em múltiplas etapas e ciclos de execução
2.6,2,Expectativa,Independência de modelo via hub de LLMs
2.A1,2,Avançado,"Combinação de LLMs com regras, algoritmos e componentes determinísticos"
2.A2,2,Avançado,Integração com assistentes de desenvolvimento nativos ou de terceiros
2.A3,2,Avançado,Lógica de negócio específica por processo/domínio
2.A4,2,Avançado,"Frameworks avançados (consenso, agent-as-a-judge)"
2.A5,2,Avançado,"Otimização automática de seleção, execução e desempenho dos modelos"
3.1,3,Expectativa,Ambiente sandbox para testes controlados
3.2,3,Expectativa,Human-in-the-Loop
3.3,3,Expectativa,KPIs específicos por agente/caso de uso
3.4,3,Expectativa,Avaliação e pontuação contínua dos resultados
3.5,3,Expectativa,Monitoramento em produção e refinamento contínuo
3.A1,3,Avançado,"Testes baseados em personas, casos de uso e intenções"
3.A2,3,Avançado,Simulação de situações reais e testes de estresse
3.A3,3,Avançado,LLM-as-a-judge
3.A4,3,Avançado,Comparação champion/challenger
3.A5,3,Avançado,Implantação gradual (recomendação → copiloto → automação → autonomia)
4.1,4,Expectativa,"Implantação cloud, edge, local ou híbrida"
4.2,4,Expectativa,Conectores/padrões para integrar agentes aos sistemas corporativos
4.3,4,Expectativa,Governança consistente independente do ambiente de execução
4.4,4,Expectativa,"Integração com APIs, sistemas de registro e fluxos existentes"
4.5,4,Expectativa,"Gestão de versões, ambientes e configurações"
4.A1,4,Avançado,Integração nativa com plataformas externas de agentes/dev
4.A2,4,Avançado,Incorporação direta dos agentes aos processos corporativos
4.A3,4,Avançado,Monitoramento contínuo das aplicações em produção
4.A4,4,Avançado,Alertas de degradação e model drift
4.A5,4,Avançado,Diagnóstico de causa raiz para falhas agentic
5.1,5,Expectativa,Orquestrador baseado em LLM capaz de decompor tarefas
5.2,5,Expectativa,Distribuição de carga e direcionamento de atividades
5.3,5,Expectativa,Coordenação entre múltiplos agentes
5.4,5,Expectativa,Pontos de aprovação e controle humano
5.5,5,Expectativa,Camada compartilhada de memória e contexto corporativo
5.6,5,Expectativa,Roteamento e abstração entre diferentes LLMs
5.A1,5,Avançado,"Orquestração de agentes, subagentes e sistemas de terceiros"
5.A2,5,Avançado,Transferência de tarefas e contexto entre agentes
5.A3,5,Avançado,Memória persistente entre sessões
5.A4,5,Avançado,Otimização proativa dos fluxos de trabalho
5.A5,5,Avançado,Roteamento dinâmico de modelos e gestão de cargas
5.A6,5,Avançado,Redes dinâmicas de agentes conforme a necessidade
6.1,6,Expectativa,Plano de controle centralizado para agentes e aplicações
6.2,6,Expectativa,"Visibilidade sobre agentes, ferramentas, modelos e acessos"
6.3,6,Expectativa,"Logs de auditoria, rastreabilidade e transparência"
6.4,6,Expectativa,RBAC para pessoas e agentes
6.5,6,Expectativa,Pontuação de confiança para resultados e fluxos agentic
6.6,6,Expectativa,Controle de custos (roteamento de modelos e gestão de contexto)
6.A1,6,Avançado,Acompanhamento de ROI das aplicações de IA
6.A2,6,Avançado,Regras comuns de governança para agentes internos e de terceiros
6.A3,6,Avançado,"Controle granular por usuário, agente, aplicação e ambiente"
6.A4,6,Avançado,Monitoramento contínuo dos fluxos dos agentes
6.A5,6,Avançado,"Descoberta, identificação, pesquisa e catalogação de agentes"
6.A6,6,Avançado,"Registro de endpoints, ferramentas, modelos, dados e permissões"
6.A7,6,Avançado,Gestão centralizada do ciclo de vida e da frota de agentes
7.1,7,Expectativa,Marketplace de agentes e componentes pré-construídos
7.2,7,Expectativa,Integração nativa de aplicações de terceiros
7.3,7,Expectativa,"Arquitetura para entrega, implantação e sustentação"
7.4,7,Expectativa,"Suporte de especialistas, arquitetos e equipes de implantação"
7.5,7,Expectativa,Componentes reutilizáveis para acelerar casos de uso
7.A1,7,Avançado,Fluxos específicos por indústria e processo
7.A2,7,Avançado,Aplicações replicáveis com arquiteturas otimizadas
7.A3,7,Avançado,Skills pré-construídas incorporáveis aos agentes
7.A4,7,Avançado,Modelos especializados/ajustados por domínio
7.A5,7,Avançado,"Serviços para manutenção, qualidade, produção, energia, logística, segurança"
S.1,sintese,Inventario,Quais agentes existem?
S.2,sintese,Inventario,Onde estão sendo executados?
S.3,sintese,Inventario,Quem é responsável por cada agente?
S.4,sintese,Inventario,"Quais dados, APIs e ferramentas podem acessar?"
S.5,sintese,Inventario,Quais modelos utilizam?
S.6,sintese,Inventario,Como estão performando?
S.7,sintese,Inventario,Quanto estão custando?
S.8,sintese,Inventario,Quais riscos apresentam?
S.9,sintese,Inventario,Qual valor geram para o negócio?
