ID,Pilar,Tipo,Item,Fornecedor A (v1),Fornecedor B (v2),Fornecedor C (v3),Roadmap,Decisão,Notas
1.1,1 — Dados e camada de contexto,Expectativa,Conectores pré-construídos para aplicações e sistemas corporativos,—,—,—,—,—,
1.2,1 — Dados e camada de contexto,Expectativa,"Integração com sistemas de registro (ERP, CRM, MES, CMMS, data platforms)",—,—,—,—,—,
1.3,1 — Dados e camada de contexto,Expectativa,"Pipelines robustos de ingestão, tratamento e normalização",—,—,—,—,—,
1.4,1 — Dados e camada de contexto,Expectativa,Controle de acesso baseado em funções para pessoas e agentes,—,—,—,—,—,
1.5,1 — Dados e camada de contexto,Expectativa,Cache de memória e reutilização de contexto entre interações,—,—,—,—,—,
1.A1,1 — Dados e camada de contexto,Avançado,Knowledge graph e mecanismo de contexto corporativo,—,—,—,—,—,
1.A2,1 — Dados e camada de contexto,Avançado,Taxonomias e ontologias por indústria/domínio,—,—,—,—,—,
1.A3,1 — Dados e camada de contexto,Avançado,"Melhoria automática de qualidade, consistência e enriquecimento",—,—,—,—,—,
1.A4,1 — Dados e camada de contexto,Avançado,Memória persistente e compartilhamento de contexto entre agentes,—,—,—,—,—,
1.A5,1 — Dados e camada de contexto,Avançado,Enriquecimento dos agentes com conhecimento corporativo e domínio,—,—,—,—,—,
2.1,2 — Desenvolvimento,Expectativa,Agent Studio com interface em linguagem natural,—,—,—,—,—,
2.2,2 — Desenvolvimento,Expectativa,Suporte low-code e code-first,—,—,—,—,—,
2.3,2 — Desenvolvimento,Expectativa,Modelos reutilizáveis de agentes e fluxos de trabalho,—,—,—,—,—,
2.4,2 — Desenvolvimento,Expectativa,Engenharia de prompts e configuração de instruções de sistema,—,—,—,—,—,
2.5,2 — Desenvolvimento,Expectativa,Raciocínio em múltiplas etapas e ciclos de execução,—,—,—,—,—,
2.6,2 — Desenvolvimento,Expectativa,Independência de modelo via hub de LLMs,—,—,—,—,—,
2.A1,2 — Desenvolvimento,Avançado,"Combinação de LLMs com regras, algoritmos e componentes determinísticos",—,—,—,—,—,
2.A2,2 — Desenvolvimento,Avançado,Integração com assistentes de desenvolvimento nativos ou de terceiros,—,—,—,—,—,
2.A3,2 — Desenvolvimento,Avançado,Lógica de negócio específica por processo/domínio,—,—,—,—,—,
2.A4,2 — Desenvolvimento,Avançado,"Frameworks avançados (consenso, agent-as-a-judge)",—,—,—,—,—,
2.A5,2 — Desenvolvimento,Avançado,"Otimização automática de seleção, execução e desempenho dos modelos",—,—,—,—,—,
3.1,3 — Testes e avaliação,Expectativa,Ambiente sandbox para testes controlados,—,—,—,—,—,
3.2,3 — Testes e avaliação,Expectativa,Human-in-the-Loop,—,—,—,—,—,
3.3,3 — Testes e avaliação,Expectativa,KPIs específicos por agente/caso de uso,—,—,—,—,—,
